time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,30.8,12.6,22.1,43713.31,0.0,0.0,0.0,0.0,13.0,18.7,92,23.06,5.06
2011-03-22,32.5,14.4,23.8,43826.92,0.0,0.0,0.0,0.0,15.6,29.9,115,19.2,5.73
2011-03-23,32.2,17.0,24.3,43940.78,0.0,0.0,0.0,0.0,22.5,41.4,357,20.73,6.57
2011-03-24,27.8,16.1,22.1,44055.07,0.0,0.0,0.0,0.0,19.4,32.4,308,24.07,6.96
2011-03-25,30.5,15.0,22.1,44169.7,0.0,0.0,0.0,0.0,36.4,57.6,153,20.77,7.27
2011-03-26,22.0,11.7,17.2,44284.62,0.0,0.0,0.0,0.0,25.7,46.4,298,18.26,4.22
2011-03-27,27.1,11.0,19.6,44399.75,0.0,0.0,0.0,0.0,15.9,28.8,333,23.99,5.39
2011-03-28,28.0,12.6,20.9,44515.01,0.0,0.0,0.0,0.0,14.3,28.8,317,24.54,6.06
2011-03-29,28.8,14.6,22.0,44630.33,0.0,0.0,0.0,0.0,16.3,28.4,337,24.69,6.11
2011-03-30,30.1,13.6,22.3,44745.64,0.0,0.0,0.0,0.0,16.9,28.4,337,24.86,6.33
2011-03-31,31.9,13.4,23.2,44860.86,0.0,0.0,0.0,0.0,16.1,28.1,324,25.29,6.71
2011-04-01,33.0,13.5,24.3,44975.92,0.0,0.0,0.0,0.0,15.5,27.0,343,25.24,6.54
2011-04-02,34.0,16.1,25.8,45090.75,0.0,0.0,0.0,0.0,9.7,16.6,65,24.99,5.69
2011-04-03,35.3,17.3,26.8,45205.27,0.0,0.0,0.0,0.0,22.9,35.6,133,22.88,8.57
2011-04-04,34.6,23.2,28.6,45319.39,0.0,0.0,0.0,0.0,47.2,72.7,136,17.28,11.36
2011-04-05,34.3,22.5,28.0,45433.05,3.0,3.0,0.0,11.0,35.5,60.5,146,16.32,8.5
2011-04-06,28.4,19.2,23.2,45546.17,3.7,3.7,0.0,6.0,24.5,40.0,336,20.38,5.44
2011-04-07,29.1,14.2,22.6,45658.66,0.0,0.0,0.0,0.0,12.9,17.6,307,25.92,5.56
2011-04-08,31.9,15.9,24.6,45770.45,0.0,0.0,0.0,0.0,19.0,35.6,21,22.49,6.89
2011-04-09,34.2,18.1,26.1,45881.46,0.0,0.0,0.0,0.0,21.8,37.1,234,24.83,7.98
2011-04-10,30.5,16.4,25.1,45991.59,0.0,0.0,0.0,0.0,12.4,27.0,25,23.47,6.16
2011-04-11,33.3,17.6,26.5,46100.84,0.0,0.0,0.0,0.0,13.7,24.1,309,25.86,7.41
2011-04-12,34.7,18.8,27.1,46209.96,0.0,0.0,0.0,0.0,36.8,56.5,154,25.0,10.34
