time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,27.4,20.7,23.9,43687.65,0.0,0.0,0.0,0.0,17.3,26.6,229,23.39,4.81
2011-03-22,27.1,20.5,23.7,43783.49,0.0,0.0,0.0,0.0,19.5,30.6,203,23.62,4.56
2011-03-23,27.0,20.6,23.7,43879.54,0.0,0.0,0.0,0.0,16.5,28.1,173,24.01,4.68
2011-03-24,27.1,21.5,24.6,43975.95,0.0,0.0,0.0,0.0,13.6,25.2,103,24.39,5.08
2011-03-25,26.9,22.2,24.4,44072.66,0.0,0.0,0.0,0.0,13.8,24.5,124,24.32,4.72
2011-03-26,27.1,22.8,24.9,44169.61,0.0,0.0,0.0,0.0,14.4,24.8,155,24.32,5.11
2011-03-27,26.0,21.5,23.3,44266.72,0.0,0.0,0.0,0.0,21.7,34.9,206,23.99,4.9
2011-03-28,25.5,19.6,22.4,44363.95,0.0,0.0,0.0,0.0,21.8,33.5,207,23.9,4.78
2011-03-29,26.5,20.3,23.1,44461.23,0.0,0.0,0.0,0.0,16.7,27.7,211,24.52,4.92
2011-03-30,26.3,20.8,23.3,44558.49,0.0,0.0,0.0,0.0,21.0,31.7,192,25.05,4.69
2011-03-31,27.9,20.2,24.3,44655.68,0.0,0.0,0.0,0.0,12.6,20.5,212,25.61,5.38
2011-04-01,29.2,20.5,25.4,44752.73,0.0,0.0,0.0,0.0,15.5,24.8,241,25.73,5.79
2011-04-02,30.0,21.5,25.8,44849.58,0.0,0.0,0.0,0.0,13.0,20.5,210,24.81,5.47
2011-04-03,29.0,22.1,25.8,44946.16,0.0,0.0,0.0,0.0,15.9,28.8,110,25.67,5.81
2011-04-04,28.6,22.1,25.8,45042.4,0.0,0.0,0.0,0.0,15.7,28.8,120,25.3,5.75
2011-04-05,28.3,24.2,26.5,45138.25,0.0,0.0,0.0,0.0,15.5,23.8,171,23.02,4.91
2011-04-06,29.4,24.8,26.7,45233.63,0.0,0.0,0.0,0.0,15.2,27.0,148,23.18,5.16
2011-04-07,29.5,24.4,26.9,45328.48,0.0,0.0,0.0,0.0,14.4,27.0,143,25.64,5.64
2011-04-08,29.1,24.3,26.9,45422.73,0.0,0.0,0.0,0.0,16.2,30.6,159,25.14,5.52
