time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,23.7,6.2,16.5,43722.58,0.0,0.0,0.0,0.0,7.7,23.0,103,24.2,4.91
2011-03-22,23.6,6.5,15.8,43842.24,0.0,0.0,0.0,0.0,22.0,43.2,250,19.14,4.69
2011-03-23,21.0,7.6,14.5,43962.17,0.0,0.0,0.0,0.0,22.6,49.0,227,17.96,4.16
2011-03-24,19.9,4.9,12.9,44082.54,0.0,0.0,0.0,0.0,24.7,51.8,246,24.48,5.11
2011-03-25,17.5,1.9,11.0,44203.29,0.0,0.0,0.0,0.0,17.1,44.3,242,19.75,3.92
2011-03-26,16.0,3.4,10.0,44324.33,1.1,1.1,0.0,5.0,23.8,43.6,299,21.06,4.19
2011-03-27,16.4,0.1,9.3,44445.59,0.0,0.0,0.0,0.0,8.6,18.0,17,25.03,4.1
2011-03-28,19.0,2.4,11.9,44566.99,0.0,0.0,0.0,0.0,9.3,23.0,324,24.76,4.41
2011-03-29,19.7,2.6,12.1,44688.46,0.0,0.0,0.0,0.0,17.7,39.6,285,24.81,5.02
2011-03-30,18.7,3.5,12.4,44809.92,0.0,0.0,0.0,0.0,11.7,25.6,315,25.51,4.78
2011-03-31,20.4,4.2,13.7,44931.29,0.0,0.0,0.0,0.0,9.4,26.6,93,25.43,4.79
2011-04-01,21.5,3.5,14.3,45052.49,0.0,0.0,0.0,0.0,13.3,22.7,18,26.24,5.22
2011-04-02,22.5,4.3,15.2,45173.45,0.0,0.0,0.0,0.0,15.3,26.6,53,26.2,5.53
2011-04-03,23.8,5.8,16.7,45294.08,0.0,0.0,0.0,0.0,9.6,26.6,243,25.95,5.29
2011-04-04,23.7,8.6,16.2,45414.3,0.6,0.6,0.0,3.0,20.5,42.1,157,17.76,4.07
2011-04-05,22.7,9.1,15.7,45534.04,0.1,0.1,0.0,1.0,17.1,41.4,168,20.5,4.4
2011-04-06,22.0,9.5,15.7,45653.21,0.0,0.0,0.0,0.0,21.4,51.1,169,20.53,4.58
2011-04-07,23.5,7.3,15.7,45771.72,0.1,0.1,0.0,1.0,20.8,40.7,214,24.35,5.36
2011-04-08,22.1,5.3,14.7,45889.5,0.0,0.0,0.0,0.0,26.6,54.0,240,25.08,5.35
2011-04-09,21.3,5.9,14.5,46006.45,0.0,0.0,0.0,0.0,33.2,67.3,257,24.6,5.53
2011-04-10,22.6,4.0,13.9,46122.49,0.0,0.0,0.0,0.0,31.6,65.9,248,25.31,5.7
2011-04-11,23.2,4.0,14.5,46237.6,0.0,0.0,0.0,0.0,23.6,47.9,251,24.68,5.41
2011-04-12,23.5,7.7,16.6,46352.57,0.0,0.0,0.0,0.0,23.2,48.6,217,26.57,5.94
2011-04-13,21.0,9.0,15.1,46467.59,0.0,0.0,0.0,0.0,28.9,58.0,235,25.37,5.84
2011-04-14,21.1,4.7,13.5,46582.56,0.0,0.0,0.0,0.0,27.7,53.3,255,27.31,5.81
2011-04-15,21.3,2.9,13.6,46697.41,0.0,0.0,0.0,0.0,9.6,25.2,305,28.29,5.14
2011-04-16,22.8,4.8,15.5,46812.06,0.0,0.0,0.0,0.0,8.0,20.9,336,28.4,5.51
2011-04-17,24.5,6.0,16.9,46926.43,0.0,0.0,0.0,0.0,8.7,21.2,332,28.27,5.97
2011-04-18,24.2,8.1,17.4,47040.45,0.0,0.0,0.0,0.0,13.5,28.8,315,26.6,6.12
2011-04-19,26.3,8.3,18.7,47154.02,0.0,0.0,0.0,0.0,9.2,23.4,204,28.25,6.11
2011-04-20,26.9,9.3,19.6,47267.05,0.0,0.0,0.0,0.0,24.7,51.1,220,22.93,6.19
2011-04-21,26.7,9.7,19.2,47379.48,0.1,0.1,0.0,1.0,14.8,38.5,220,23.33,5.34
2011-04-22,27.8,11.6,20.8,47491.21,0.0,0.0,0.0,0.0,17.8,42.8,207,22.28,5.5
2011-04-23,28.4,13.6,21.7,47602.14,0.0,0.0,0.0,0.0,22.7,47.5,231,24.62,6.31
2011-04-24,25.7,13.4,19.7,47712.21,0.0,0.0,0.0,0.0,22.6,44.6,200,18.17,5.22
2011-04-25,25.0,10.8,17.9,47821.29,0.3,0.3,0.0,1.0,17.5,42.1,241,18.02,4.31
2011-04-26,24.5,10.8,17.0,47929.31,1.0,1.0,0.0,4.0,23.9,43.6,189,20.55,4.51
2011-04-27,25.7,8.6,18.0,48036.16,0.0,0.0,0.0,0.0,15.9,32.8,235,28.31,6.19
2011-04-28,26.4,8.9,19.0,48141.77,0.0,0.0,0.0,0.0,10.5,28.1,87,28.05,5.96
2011-04-29,27.3,10.1,20.5,48246.01,0.0,0.0,0.0,0.0,10.8,23.0,224,26.54,5.92
2011-04-30,29.5,11.8,21.2,48348.79,0.0,0.0,0.0,0.0,22.4,49.3,223,25.04,6.41
2011-05-01,25.1,13.7,19.4,48450.07,0.9,0.9,0.0,4.0,25.2,52.2,213,22.92,5.59
2011-05-02,26.0,9.2,18.3,48550.62,0.0,0.0,0.0,0.0,15.3,29.5,235,27.92,5.99
2011-05-03,24.3,10.9,17.8,48650.57,0.0,0.0,0.0,0.0,21.7,42.8,252,25.37,6.24
