time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,18.0,3.6,11.0,43746.77,0.0,0.0,0.0,0.0,12.9,28.8,87,22.9,3.9
2011-03-22,18.7,6.4,12.0,43881.52,0.1,0.1,0.0,1.0,7.2,27.7,28,19.57,3.52
2011-03-23,13.1,4.9,9.0,44016.58,9.6,9.6,0.0,15.0,8.0,23.4,49,11.37,1.86
2011-03-24,11.9,0.9,6.9,44152.14,1.3,1.3,0.0,3.0,13.6,37.8,338,22.35,3.08
2011-03-25,12.0,-0.2,7.3,44288.12,0.1,0.1,0.0,1.0,10.4,23.0,349,20.58,3.15
2011-03-26,8.7,1.3,5.4,44424.44,2.2,2.2,0.0,6.0,11.0,29.5,263,14.43,1.89
2011-03-27,13.8,-2.8,5.9,44561.0,0.0,0.0,0.0,0.0,7.6,20.2,327,24.76,3.6
2011-03-28,15.7,-0.3,7.7,44697.74,0.0,0.0,0.0,0.0,6.5,19.8,20,23.86,3.65
2011-03-29,15.1,1.7,8.5,44834.55,0.2,0.2,0.0,1.0,6.8,19.8,351,21.24,3.31
2011-03-30,15.6,0.4,8.1,44971.35,0.0,0.0,0.0,0.0,14.3,31.0,317,23.67,3.76
2011-03-31,16.7,1.6,9.5,45108.07,0.0,0.0,0.0,0.0,9.7,23.8,76,24.72,4.07
2011-04-01,18.3,4.0,10.9,45244.6,0.0,0.0,0.0,0.0,9.4,21.2,337,24.84,4.26
2011-04-02,18.6,2.4,11.0,45380.86,0.0,0.0,0.0,0.0,7.8,20.9,8,25.12,4.24
2011-04-03,20.0,3.0,12.1,45516.76,0.1,0.1,0.0,1.0,15.8,36.0,95,25.75,4.75
2011-04-04,20.7,7.1,14.1,45652.22,1.3,1.3,0.0,5.0,23.3,49.3,115,22.19,4.89
2011-04-05,20.5,8.0,14.7,45787.13,1.5,1.5,0.0,4.0,21.9,45.0,112,19.63,4.33
