time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,20.7,9.0,15.0,43706.36,0.0,0.0,0.0,0.0,7.4,20.9,280,25.15,4.51
2011-03-22,22.9,9.6,16.1,43815.3,0.0,0.0,0.0,0.0,7.4,17.3,151,25.44,4.85
2011-03-23,24.2,11.6,18.1,43924.5,0.0,0.0,0.0,0.0,20.9,45.4,223,22.69,5.88
2011-03-24,23.6,9.9,17.0,44034.1,0.0,0.0,0.0,0.0,28.9,60.1,217,25.21,6.62
2011-03-25,22.5,9.2,16.0,44144.04,0.0,0.0,0.0,0.0,23.6,47.5,220,25.94,6.32
2011-03-26,22.7,10.4,17.0,44254.25,0.0,0.0,0.0,0.0,37.3,79.9,219,20.67,6.12
2011-03-27,16.0,4.5,10.9,44364.65,0.0,0.0,0.0,0.0,15.8,38.5,308,24.89,4.36
2011-03-28,20.5,1.4,11.6,44475.18,0.0,0.0,0.0,0.0,20.8,42.1,314,26.77,5.17
2011-03-29,21.3,4.4,14.0,44585.77,0.0,0.0,0.0,0.0,17.2,40.3,238,26.56,5.51
2011-03-30,19.6,9.3,14.2,44696.36,0.0,0.0,0.0,0.0,13.0,29.9,269,26.92,5.3
2011-03-31,19.7,5.5,13.1,44806.85,0.0,0.0,0.0,0.0,10.4,27.4,29,25.79,4.95
2011-04-01,20.7,4.9,13.7,44917.19,0.0,0.0,0.0,0.0,13.3,27.0,45,26.73,5.38
2011-04-02,20.7,5.9,14.0,45027.3,0.0,0.0,0.0,0.0,17.9,34.6,65,25.51,5.41
2011-04-03,22.6,7.4,15.7,45137.11,0.0,0.0,0.0,0.0,13.7,30.6,181,24.88,5.43
2011-04-04,24.5,11.3,18.3,45246.54,0.0,0.0,0.0,0.0,14.4,31.7,243,24.62,6.09
2011-04-05,21.8,12.1,16.1,45355.54,0.0,0.0,0.0,0.0,22.1,52.6,249,16.24,4.24
2011-04-06,21.5,10.6,15.1,45464.0,3.2,3.2,0.0,7.0,21.7,54.4,198,18.55,3.94
2011-04-07,21.1,9.6,15.2,45571.86,5.4,5.4,0.0,6.0,25.8,60.8,211,23.34,4.67
2011-04-08,21.6,10.0,15.9,45679.05,1.4,1.4,0.0,7.0,28.7,58.7,229,24.09,5.03
2011-04-09,22.9,11.4,17.3,45785.48,0.6,0.6,0.0,2.0,31.6,64.4,235,24.36,5.92
