time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,18.4,2.7,11.0,43750.84,0.0,0.0,0.0,0.0,15.6,28.8,108,22.62,4.13
2011-03-22,21.4,3.9,13.4,43888.05,0.0,0.0,0.0,0.0,12.1,20.2,80,22.6,4.32
2011-03-23,21.3,8.0,15.1,44025.56,0.0,0.0,0.0,0.0,22.0,40.3,76,18.01,4.27
2011-03-24,22.8,6.9,14.4,44163.59,0.1,0.1,0.0,1.0,22.1,41.0,165,20.48,4.25
2011-03-25,14.4,4.9,8.9,44302.05,0.3,0.3,0.0,3.0,16.9,31.0,101,15.32,2.25
2011-03-26,11.1,4.8,7.8,44440.85,8.6,8.6,0.0,21.0,23.5,43.6,78,12.0,1.67
2011-03-27,11.1,4.0,7.1,44579.91,6.2,6.2,0.0,10.0,9.2,18.4,110,9.86,1.51
2011-03-28,16.3,0.1,9.2,44719.14,0.0,0.0,0.0,0.0,12.2,19.1,114,23.46,3.68
2011-03-29,15.4,3.0,9.9,44858.44,0.0,0.0,0.0,0.0,14.9,22.0,4,21.05,3.3
2011-03-30,15.8,3.6,10.1,44997.75,0.0,0.0,0.0,0.0,9.6,23.4,310,21.0,3.24
2011-03-31,15.9,2.8,10.6,45136.95,0.0,0.0,0.0,0.0,11.6,19.4,33,22.57,3.62
2011-04-01,19.3,3.0,11.8,45275.98,0.0,0.0,0.0,0.0,12.2,23.4,311,23.54,4.2
2011-04-02,17.9,4.0,11.0,45414.73,0.1,0.1,0.0,1.0,18.9,33.8,110,22.29,3.89
2011-04-03,9.5,5.5,7.1,45553.12,0.0,0.0,0.0,0.0,18.2,33.8,102,10.29,1.53
2011-04-04,11.0,2.6,6.4,45691.06,0.0,0.0,0.0,0.0,17.3,35.3,99,21.65,3.07
2011-04-05,14.8,2.3,8.4,45828.45,0.0,0.0,0.0,0.0,17.7,33.1,98,25.46,4.12
2011-04-06,20.6,5.7,13.0,45965.2,0.0,0.0,0.0,0.0,14.5,29.9,76,25.2,4.86
2011-04-07,24.5,6.9,15.7,46101.2,1.0,1.0,0.0,2.0,16.1,44.6,266,20.14,4.19
2011-04-08,19.2,9.2,13.9,46236.38,1.6,1.6,0.0,3.0,13.3,33.5,282,16.61,2.92
2011-04-09,22.5,7.0,14.8,46370.62,0.0,0.0,0.0,0.0,36.4,69.8,238,22.34,5.01
2011-04-10,22.8,6.8,15.1,46503.84,0.0,0.0,0.0,0.0,15.3,33.1,249,25.71,4.98
2011-04-11,25.3,5.6,16.2,46636.01,0.0,0.0,0.0,0.0,15.6,33.8,268,25.46,5.16
2011-04-12,27.5,6.7,17.7,46768.04,0.1,0.1,0.0,1.0,16.0,31.3,242,24.56,5.34
2011-04-13,28.5,7.3,19.5,46900.12,0.0,0.0,0.0,0.0,28.0,49.7,248,25.06,6.48
2011-04-14,16.7,7.0,12.9,47032.17,1.8,1.8,0.0,7.0,22.8,48.6,103,20.97,4.05
2011-04-15,17.6,4.7,11.0,47164.11,0.0,0.0,0.0,0.0,18.0,29.9,107,26.71,4.4
2011-04-16,21.6,4.1,14.1,47295.83,0.0,0.0,0.0,0.0,12.2,18.7,107,27.15,4.95
2011-04-17,24.7,5.3,16.9,47427.25,0.0,0.0,0.0,0.0,10.0,15.8,303,27.1,5.15
2011-04-18,24.7,7.0,17.1,47558.29,0.0,0.0,0.0,0.0,23.5,38.2,85,26.8,6.32
2011-04-19,23.9,7.6,16.8,47688.83,0.0,0.0,0.0,0.0,18.0,28.1,101,26.34,5.53
2011-04-20,28.9,8.5,19.7,47818.79,0.0,0.0,0.0,0.0,10.1,18.7,274,27.09,5.53
2011-04-21,32.1,11.5,22.9,47948.07,0.0,0.0,0.0,0.0,14.3,20.2,307,27.06,6.45
2011-04-22,30.1,11.6,21.5,48076.56,0.0,0.0,0.0,0.0,24.9,43.2,72,27.11,6.9
2011-04-23,32.3,14.0,23.7,48204.17,0.0,0.0,0.0,0.0,18.4,37.4,111,26.67,7.24
2011-04-24,31.2,16.6,23.8,48330.79,0.0,0.0,0.0,0.0,25.8,46.1,92,26.16,6.74
2011-04-25,24.7,15.1,19.0,48456.32,0.0,0.0,0.0,0.0,23.1,45.0,96,24.34,5.51
