time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,10.3,7.6,8.6,43759.24,0.1,0.1,0.0,1.0,9.9,24.8,25,11.53,1.48
2011-03-22,14.0,6.6,9.6,43901.46,2.0,2.0,0.0,9.0,13.1,33.8,35,19.03,2.33
2011-03-23,8.3,6.1,7.4,44043.99,5.7,5.7,0.0,20.0,10.2,22.7,326,5.71,0.84
2011-03-24,8.9,5.8,7.4,44187.05,1.4,1.4,0.0,9.0,13.6,28.4,354,7.71,1.06
2011-03-25,13.0,4.4,8.8,44330.56,1.7,1.7,0.0,4.0,11.8,31.3,40,18.01,2.25
2011-03-26,12.1,5.8,9.7,44474.43,2.1,2.1,0.0,7.0,9.0,24.5,322,14.2,1.93
2011-03-27,17.8,4.1,10.9,44618.56,0.0,0.0,0.0,0.0,10.1,26.3,134,23.19,3.42
2011-03-28,17.4,4.1,10.9,44762.88,0.0,0.0,0.0,0.0,11.6,28.8,329,22.37,3.24
2011-03-29,12.4,7.9,9.9,44907.27,0.2,0.2,0.0,1.0,13.0,31.7,344,15.04,1.89
2011-03-30,16.9,6.5,11.8,45051.66,0.0,0.0,0.0,0.0,10.5,29.2,75,22.07,3.13
2011-03-31,18.0,6.4,12.0,45195.96,0.0,0.0,0.0,0.0,11.2,28.4,82,22.43,3.26
2011-04-01,15.8,8.7,11.7,45340.07,0.0,0.0,0.0,0.0,13.5,31.7,7,18.53,2.56
2011-04-02,12.3,7.9,10.1,45483.91,0.2,0.2,0.0,2.0,11.7,30.6,338,15.47,2.01
2011-04-03,13.1,8.6,10.4,45627.37,1.1,1.1,0.0,6.0,11.6,29.5,14,14.82,2.03
2011-04-04,12.9,8.2,10.4,45770.36,1.2,1.2,0.0,6.0,10.1,27.0,345,14.32,1.98
2011-04-05,13.9,6.4,10.1,45912.8,1.1,1.1,0.0,3.0,13.5,32.4,27,19.4,2.47
2011-04-06,13.9,8.5,11.4,46054.56,1.3,1.3,0.0,4.0,10.5,23.4,24,12.04,1.65
2011-04-07,17.4,9.7,12.6,46195.57,0.1,0.1,0.0,1.0,14.7,38.2,23,22.15,3.08
2011-04-08,19.5,8.1,13.1,46335.73,0.0,0.0,0.0,0.0,11.3,31.0,80,22.12,3.26
2011-04-09,25.6,11.3,18.5,46474.91,0.0,0.0,0.0,0.0,21.8,50.8,207,21.16,5.06
2011-04-10,28.0,9.4,19.0,46613.04,0.0,0.0,0.0,0.0,23.2,51.1,197,24.41,5.52
2011-04-11,22.6,10.8,14.9,46750.09,0.2,0.2,0.0,1.0,16.9,43.6,9,21.98,3.27
2011-04-12,23.3,8.8,14.7,46886.99,0.5,0.5,0.0,2.0,16.6,44.3,2,22.83,3.71
2011-04-13,24.3,8.7,14.1,47023.96,1.1,1.1,0.0,6.0,27.1,57.2,359,24.81,4.07
2011-04-14,15.5,8.3,11.4,47160.91,0.7,0.7,0.0,4.0,14.2,33.8,58,20.29,2.89
2011-04-15,19.4,5.4,13.0,47297.73,0.0,0.0,0.0,0.0,11.6,33.1,71,25.84,3.94
2011-04-16,25.2,6.7,16.2,47434.35,0.0,0.0,0.0,0.0,11.0,28.8,129,25.73,4.56
2011-04-17,22.5,11.1,15.7,47570.66,0.5,0.5,0.0,2.0,12.5,28.4,12,25.17,4.02
2011-04-18,14.8,10.9,12.6,47706.57,0.5,0.5,0.0,4.0,12.3,30.2,3,15.83,2.3
2011-04-19,20.8,10.1,14.9,47841.98,0.0,0.0,0.0,0.0,10.7,26.3,56,23.09,3.59
2011-04-20,30.2,11.1,20.3,47976.8,0.0,0.0,0.0,0.0,10.1,27.0,143,22.69,4.57
2011-04-21,27.0,10.7,17.5,48110.91,1.8,1.8,0.0,6.0,15.7,40.7,341,17.68,3.2
2011-04-22,10.6,8.6,9.8,48244.21,12.3,12.3,0.0,23.0,9.7,24.1,319,6.25,0.94
2011-04-23,16.0,8.2,11.7,48376.61,0.4,0.4,0.0,3.0,13.0,32.0,31,21.05,2.87
2011-04-24,15.1,10.3,12.5,48507.99,3.4,3.4,0.0,14.0,12.4,31.0,25,15.08,2.18
2011-04-25,11.1,9.4,10.4,48638.25,10.3,10.3,0.0,23.0,9.8,19.8,3,4.58,0.82
2011-04-26,12.3,9.4,10.7,48767.26,2.9,2.9,0.0,10.0,10.2,22.7,32,8.8,1.41
2011-04-27,13.0,9.5,11.1,48894.92,2.0,2.0,0.0,9.0,12.9,25.6,355,9.66,1.49
2011-04-28,17.4,8.4,12.8,49021.11,0.0,0.0,0.0,0.0,12.2,28.8,57,23.44,3.44
2011-04-29,17.8,9.4,13.7,49145.7,0.0,0.0,0.0,0.0,13.4,30.6,61,20.48,3.0
2011-04-30,18.9,11.4,15.5,49268.6,0.0,0.0,0.0,0.0,8.9,23.0,34,18.03,2.87
2011-05-01,19.3,12.5,15.8,49389.74,0.6,0.6,0.0,4.0,13.9,38.2,4,17.24,2.62
2011-05-02,21.1,12.2,15.5,49510.02,0.0,0.0,0.0,0.0,15.8,37.4,29,22.95,3.48
2011-05-03,19.7,12.4,16.3,49629.62,0.0,0.0,0.0,0.0,9.3,24.5,51,17.65,2.87
2011-05-04,21.1,11.2,16.9,49748.46,0.0,0.0,0.0,0.0,8.7,24.5,71,22.29,3.7
2011-05-05,26.7,11.5,19.6,49866.42,0.0,0.0,0.0,0.0,9.2,23.8,132,25.57,4.72
2011-05-06,24.8,14.1,18.9,49983.4,0.0,0.0,0.0,0.0,12.8,33.5,9,25.67,4.41
2011-05-07,19.9,13.7,16.5,50099.31,2.4,2.4,0.0,8.0,12.6,31.0,328,17.49,2.86
2011-05-08,17.4,14.2,15.5,50214.02,3.9,3.9,0.0,20.0,12.5,29.5,3,11.62,1.92
2011-05-09,17.3,13.3,15.1,50327.43,2.0,2.0,0.0,12.0,12.2,30.6,343,13.5,2.18
2011-05-10,19.8,12.9,16.1,50439.44,0.1,0.1,0.0,1.0,12.0,29.2,25,18.69,3.14
2011-05-11,20.4,11.9,16.5,50549.93,1.9,1.9,0.0,5.0,13.4,28.4,52,19.9,3.23
2011-05-12,22.2,14.2,18.0,50658.77,0.5,0.5,0.0,3.0,12.2,29.5,24,22.23,3.7
2011-05-13,23.5,15.8,19.1,50765.86,0.0,0.0,0.0,0.0,12.3,30.6,18,26.15,4.33
2011-05-14,21.4,14.7,17.7,50871.08,3.3,3.3,0.0,12.0,15.5,34.9,354,21.5,3.37
2011-05-15,19.0,14.9,16.4,50974.3,3.8,3.8,0.0,17.0,14.9,29.9,2,16.05,2.56
2011-05-16,20.9,14.1,17.1,51075.39,0.3,0.3,0.0,3.0,10.7,27.7,24,19.99,3.41
2011-05-17,20.4,13.3,16.9,51174.25,0.0,0.0,0.0,0.0,10.3,26.6,4,14.28,2.43
2011-05-18,19.7,14.4,17.3,51270.73,0.1,0.1,0.0,1.0,9.7,24.8,350,17.37,2.91
2011-05-19,21.0,14.1,17.3,51364.71,0.0,0.0,0.0,0.0,11.9,23.0,41,16.96,2.94
2011-05-20,22.5,14.3,18.4,51456.06,0.0,0.0,0.0,0.0,11.4,26.6,15,23.73,3.95
2011-05-21,23.2,16.1,19.2,51544.72,0.0,0.0,0.0,0.0,12.4,31.3,15,21.74,3.75
2011-05-22,22.2,15.1,18.6,51631.39,0.2,0.2,0.0,2.0,13.4,32.0,3,22.9,3.77
2011-05-23,21.3,16.3,18.4,51716.23,1.8,1.8,0.0,5.0,12.3,30.6,306,20.4,3.52
2011-05-24,22.0,14.6,18.2,51799.14,0.2,0.2,0.0,1.0,12.8,29.2,37,21.19,3.66
2011-05-25,24.6,14.3,19.7,51880.04,0.0,0.0,0.0,0.0,9.1,23.8,221,24.25,4.45
2011-05-26,23.9,14.0,19.4,51958.85,0.0,0.0,0.0,0.0,10.5,26.6,336,25.44,4.57
2011-05-27,24.9,14.4,19.6,52035.48,2.4,2.4,0.0,5.0,14.6,31.3,305,25.14,4.62
2011-05-28,22.2,16.3,18.8,52109.84,2.3,2.3,0.0,13.0,10.7,24.8,328,16.78,2.98
2011-05-29,25.1,15.6,20.4,52181.85,0.2,0.2,0.0,1.0,11.8,28.4,53,24.49,4.33
2011-05-30,24.1,18.7,21.1,52251.41,0.2,0.2,0.0,2.0,11.3,27.0,39,18.35,3.4
2011-05-31,25.1,17.4,21.2,52318.44,0.0,0.0,0.0,0.0,11.6,29.2,9,22.88,4.2
2011-06-01,26.0,17.1,21.9,52382.85,0.0,0.0,0.0,0.0,9.1,23.8,346,25.51,4.82
2011-06-02,25.5,18.9,22.0,52444.55,0.0,0.0,0.0,0.0,10.5,27.0,321,24.35,4.7
2011-06-03,23.4,18.0,20.3,52503.44,0.9,0.9,0.0,6.0,15.3,36.7,304,21.12,3.88
2011-06-04,24.8,15.8,20.4,52559.45,0.0,0.0,0.0,0.0,12.2,28.4,28,25.46,4.7
2011-06-05,25.8,15.8,21.2,52612.47,0.0,0.0,0.0,0.0,13.5,31.7,24,25.46,4.72
2011-06-06,24.5,17.8,21.3,52662.42,0.3,0.3,0.0,2.0,13.6,29.5,5,22.14,4.08
2011-06-07,24.5,18.9,21.4,52709.21,1.3,1.3,0.0,7.0,10.8,27.0,342,19.32,3.69
2011-06-08,25.3,18.0,21.3,52752.76,0.2,0.2,0.0,2.0,12.4,30.6,352,22.74,4.23
2011-06-09,24.6,18.3,21.3,52792.97,0.0,0.0,0.0,0.0,14.1,29.9,328,21.81,4.14
2011-06-10,26.4,17.1,21.9,52829.79,0.0,0.0,0.0,0.0,11.4,26.3,59,23.94,4.66
2011-06-11,27.4,16.9,22.7,52863.5,0.0,0.0,0.0,0.0,13.0,31.3,69,25.49,4.93
2011-06-12,28.7,18.0,22.9,52894.2,5.8,5.8,0.0,8.0,17.7,40.7,354,25.05,4.61
2011-06-13,26.0,19.9,22.4,52921.84,1.3,1.3,0.0,6.0,14.9,35.6,1,22.51,4.19
2011-06-14,26.4,20.0,22.8,52946.43,0.6,0.6,0.0,5.0,13.5,32.8,10,21.87,4.16
