time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,21.9,10.3,15.8,43702.32,0.0,0.0,0.0,0.0,11.2,18.7,287,23.93,4.54
2011-03-22,23.1,11.0,16.7,43808.53,0.0,0.0,0.0,0.0,11.6,32.0,279,23.35,4.7
2011-03-23,20.1,12.1,16.2,43914.98,0.2,0.2,0.0,1.0,16.4,44.6,256,17.31,3.49
2011-03-24,19.7,10.7,15.0,44021.81,0.0,0.0,0.0,0.0,17.9,43.6,235,25.26,4.86
2011-03-25,20.4,8.7,14.0,44128.98,0.4,0.4,0.0,2.0,24.8,60.5,216,23.28,4.64
2011-03-26,17.1,7.5,12.4,44236.41,0.0,0.0,0.0,0.0,21.4,54.0,224,18.29,3.71
2011-03-27,17.7,5.2,11.3,44344.03,0.0,0.0,0.0,0.0,6.8,22.0,16,25.83,4.17
2011-03-28,17.7,5.6,11.5,44451.77,0.0,0.0,0.0,0.0,13.1,33.1,297,26.22,4.62
2011-03-29,19.2,6.2,12.6,44559.57,0.0,0.0,0.0,0.0,16.7,45.0,281,26.24,4.86
2011-03-30,19.4,6.7,13.3,44667.36,0.0,0.0,0.0,0.0,10.0,24.1,313,26.55,5.03
2011-03-31,21.6,8.6,15.2,44775.07,0.0,0.0,0.0,0.0,11.4,22.3,300,26.55,5.21
2011-04-01,22.6,9.1,15.9,44882.63,0.0,0.0,0.0,0.0,11.3,24.1,301,26.82,5.39
2011-04-02,23.2,10.5,17.0,44989.96,0.0,0.0,0.0,0.0,10.5,18.4,292,25.64,5.23
2011-04-03,23.3,11.9,17.7,45097.0,0.0,0.0,0.0,0.0,9.8,25.2,254,21.73,4.65
2011-04-04,21.0,12.9,16.0,45203.67,3.6,3.6,0.0,9.0,14.3,35.6,282,12.02,2.69
2011-04-05,16.2,10.6,13.6,45309.9,8.2,8.2,0.0,17.0,7.3,20.9,23,11.46,2.04
2011-04-06,21.3,11.7,16.0,45415.62,0.6,0.6,0.0,2.0,18.0,58.3,159,21.11,4.04
2011-04-07,21.9,11.7,16.5,45520.76,0.5,0.5,0.0,3.0,23.9,55.8,201,24.34,4.7
2011-04-08,21.0,10.6,16.2,45625.23,1.1,1.1,0.0,4.0,20.8,52.2,239,23.52,4.5
2011-04-09,22.2,12.8,17.1,45728.97,0.0,0.0,0.0,0.0,23.6,54.7,245,26.29,5.25
2011-04-10,20.7,10.9,15.5,45831.89,0.0,0.0,0.0,0.0,19.8,43.9,221,19.06,4.01
2011-04-11,22.4,11.6,16.5,45933.98,0.0,0.0,0.0,0.0,18.7,42.5,231,26.93,5.24
2011-04-12,23.7,10.1,16.3,46035.95,0.0,0.0,0.0,0.0,17.9,41.8,221,27.48,5.49
2011-04-13,17.1,11.6,14.0,46137.93,8.1,8.1,0.0,11.0,13.7,49.7,195,16.03,2.65
2011-04-14,20.1,11.9,15.6,46239.87,0.8,0.8,0.0,2.0,18.3,42.5,255,25.43,4.69
2011-04-15,20.3,10.5,15.2,46341.7,0.0,0.0,0.0,0.0,14.0,34.6,266,27.5,5.22
2011-04-16,21.6,9.2,15.6,46443.34,0.0,0.0,0.0,0.0,7.6,19.4,278,28.5,5.31
2011-04-17,22.9,11.3,17.0,46544.71,0.0,0.0,0.0,0.0,11.4,22.3,283,27.81,5.48
2011-04-18,24.4,13.0,18.5,46645.77,0.0,0.0,0.0,0.0,11.7,25.6,305,28.24,5.95
2011-04-19,25.5,14.5,20.1,46746.41,0.0,0.0,0.0,0.0,9.1,22.3,304,28.77,5.88
2011-04-20,26.0,14.6,20.3,46846.58,0.0,0.0,0.0,0.0,16.2,38.5,258,26.68,5.98
2011-04-21,26.6,14.9,20.9,46946.2,0.0,0.0,0.0,0.0,11.3,31.7,297,25.74,5.47
2011-04-22,28.1,16.1,22.3,47045.17,0.0,0.0,0.0,0.0,11.9,31.0,266,26.71,6.05
2011-04-23,29.1,16.3,22.8,47143.45,0.0,0.0,0.0,0.0,14.5,31.0,288,26.93,6.42
2011-04-24,28.6,17.1,22.6,47240.93,0.1,0.1,0.0,1.0,15.5,35.3,299,23.48,6.04
2011-04-25,27.7,17.2,22.1,47337.53,0.0,0.0,0.0,0.0,11.9,31.3,283,23.83,5.74
2011-04-26,26.2,16.9,21.2,47433.18,0.2,0.2,0.0,1.0,18.2,39.6,268,23.02,5.41
