time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,16.7,2.8,9.0,43766.11,0.4,0.4,0.0,3.0,20.7,39.2,158,14.9,2.62
2011-03-22,16.7,1.7,9.4,43912.35,0.1,0.1,0.0,1.0,25.0,48.6,207,20.58,3.68
2011-03-23,12.1,3.5,7.6,44058.91,2.0,2.0,0.0,6.0,27.7,51.5,208,18.31,2.83
2011-03-24,8.5,0.4,4.3,44206.02,3.2,3.1,0.07,12.0,15.2,37.1,235,19.67,2.3
2011-03-25,9.1,-0.4,4.1,44353.6,2.2,1.8,0.28,11.0,14.1,32.0,273,21.17,2.65
2011-03-26,10.8,-4.0,4.4,44501.54,0.0,0.0,0.0,0.0,9.7,25.2,51,22.96,3.24
2011-03-27,13.6,1.2,7.2,44649.76,0.0,0.0,0.0,0.0,10.5,27.4,205,24.2,3.72
2011-03-28,14.4,-0.2,8.0,44798.16,0.0,0.0,0.0,0.0,11.5,29.2,206,24.0,3.87
2011-03-29,13.3,2.2,7.1,44946.65,0.0,0.0,0.0,0.0,15.7,28.8,216,22.58,3.37
2011-03-30,14.8,0.1,7.8,45095.14,0.0,0.0,0.0,0.0,13.4,31.7,205,22.54,3.59
2011-03-31,15.8,-0.5,9.0,45243.54,0.0,0.0,0.0,0.0,13.4,33.5,203,23.87,4.06
2011-04-01,16.7,4.7,10.7,45391.74,0.0,0.0,0.0,0.0,14.7,34.6,205,23.37,4.11
2011-04-02,17.9,1.6,9.9,45539.66,0.0,0.0,0.0,0.0,14.8,34.2,172,21.58,3.79
2011-04-03,19.9,3.6,11.3,45687.2,0.0,0.0,0.0,0.0,23.1,44.6,98,24.29,4.47
2011-04-04,19.5,4.5,10.2,45834.27,5.6,5.6,0.0,7.0,21.0,43.9,88,18.86,3.32
2011-04-05,14.0,5.0,9.8,45980.76,5.4,5.4,0.0,9.0,24.9,50.8,179,21.14,3.18
2011-04-06,7.2,2.9,5.4,46126.57,10.2,10.2,0.0,14.0,10.5,42.8,169,10.46,1.32
