time,temp_max (°C),temp_min (°C),temp_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°),shortwave_radiation_sum (MJ/m²),evapotranspiration (mm)
2011-03-21,17.4,3.9,10.8,43745.62,0.0,0.0,0.0,0.0,8.3,18.7,43,22.9,3.84
2011-03-22,18.2,6.4,11.9,43879.68,0.0,0.0,0.0,0.0,10.1,23.0,10,19.3,3.5
2011-03-23,13.3,4.6,9.6,44014.04,4.6,4.6,0.0,10.0,9.5,27.0,24,12.69,2.04
2011-03-24,12.2,1.2,7.2,44148.9,2.9,2.9,0.0,2.0,15.8,39.6,335,23.1,3.06
2011-03-25,12.4,2.7,8.0,44284.18,0.4,0.4,0.0,3.0,10.7,26.3,336,21.82,3.23
2011-03-26,9.1,3.3,6.1,44419.79,2.8,2.8,0.0,7.0,10.1,30.2,250,10.59,1.51
2011-03-27,13.8,-1.6,6.6,44555.65,0.0,0.0,0.0,0.0,5.7,18.4,320,24.23,3.42
2011-03-28,15.9,-0.2,8.0,44691.68,0.0,0.0,0.0,0.0,8.9,20.9,347,24.45,3.76
2011-03-29,15.4,1.0,8.8,44827.78,0.0,0.0,0.0,0.0,9.1,18.4,8,20.47,3.3
2011-03-30,16.2,1.8,9.1,44963.88,0.0,0.0,0.0,0.0,13.7,32.0,327,24.21,3.86
2011-03-31,16.9,1.5,9.7,45099.88,0.0,0.0,0.0,0.0,9.0,23.0,45,24.64,3.98
2011-04-01,18.9,3.8,11.4,45235.71,0.0,0.0,0.0,0.0,8.9,19.4,358,24.75,4.23
2011-04-02,19.1,4.0,12.1,45371.27,0.0,0.0,0.0,0.0,9.5,22.0,35,24.76,4.17
2011-04-03,20.4,6.1,13.6,45506.46,0.0,0.0,0.0,0.0,11.3,27.0,67,25.17,4.61
2011-04-04,21.2,8.7,15.1,45641.21,0.3,0.3,0.0,2.0,17.4,38.9,96,22.47,4.68
2011-04-05,21.4,8.3,15.1,45775.43,1.1,1.1,0.0,5.0,15.6,31.3,64,21.09,4.3
2011-04-06,18.1,8.9,12.5,45909.02,3.5,3.5,0.0,5.0,17.4,53.6,46,14.96,2.75
2011-04-07,18.2,4.8,12.2,46041.88,0.0,0.0,0.0,0.0,9.8,25.2,337,25.56,4.27
2011-04-08,17.4,8.4,12.8,46173.93,0.2,0.2,0.0,1.0,14.0,34.9,323,23.84,4.02
2011-04-09,15.3,5.7,10.9,46305.07,2.1,2.1,0.0,3.0,18.8,48.6,330,19.54,3.06
2011-04-10,17.5,6.2,11.9,46435.19,0.0,0.0,0.0,0.0,17.4,40.0,321,25.63,4.26
2011-04-11,18.2,6.1,12.9,46564.3,0.2,0.2,0.0,1.0,16.2,36.4,314,24.26,4.27
2011-04-12,19.7,6.7,13.8,46693.25,0.4,0.4,0.0,3.0,11.3,29.2,351,25.48,4.49
2011-04-13,21.0,8.6,15.0,46822.26,0.3,0.3,0.0,1.0,34.0,72.4,266,24.96,5.43
2011-04-14,15.7,5.3,11.5,46951.24,0.0,0.0,0.0,0.0,22.1,50.0,317,27.71,5.18
2011-04-15,18.1,1.8,10.9,47080.1,0.0,0.0,0.0,0.0,8.6,27.0,42,27.72,4.63
2011-04-16,21.2,5.6,13.8,47208.75,0.0,0.0,0.0,0.0,13.9,31.7,327,27.5,5.31
2011-04-17,22.5,8.5,15.7,47337.11,0.0,0.0,0.0,0.0,14.0,35.6,325,26.82,5.63
2011-04-18,23.8,8.6,16.9,47465.07,0.0,0.0,0.0,0.0,17.4,39.6,312,27.16,5.89
2011-04-19,25.3,8.8,17.9,47592.56,0.0,0.0,0.0,0.0,8.7,24.8,342,26.98,5.43
2011-04-20,27.0,11.4,20.2,47719.47,0.0,0.0,0.0,0.0,16.7,41.0,305,24.87,6.25
2011-04-21,24.7,11.2,18.5,47845.71,0.4,0.4,0.0,1.0,17.9,41.0,320,23.75,5.22
